PropertyID;Builder;PropertyName;BHK;ServantRoom;Address;Area;Construction;Rate;City;State;ImageSrc
1;M3M;Golf 79;2.5;No;Sector 79, Gurugram;1420;Underconstruction;8999;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/M3M%20Golf%2079/1.png
2;M3M;Golf 79;3.5;No;Sector 79, Gurugram;1902;Underconstruction;8999;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/M3M%20Golf%2079/2.png
3;M3M;Golf 79;3.5;Yes;Sector 79, Gurugram;2090;Underconstruction;8999;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/M3M%20Golf%2079/3.png
4;M3M;Golf 79;4.5;Yes;Sector 79, Gurugram;2636;Underconstruction;8999;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/M3M%20Golf%2079/4.png
5;M3M;Antalya Hills;2.5;No;Sector 79, Gurugram;835;Underconstruction;9250;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/M3M%20Antalya%20Hills/1.png
6;M3M;Antalya Hills;3.5;No;Sector 79, Gurugram;1073;Underconstruction;10000;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/M3M%20Antalya%20Hills/2.png
7;Mapsko;Mount Ville;3;No;Sector 79, Gurugram;1490;Ready to move in;8390;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/Mapsko%20Mount%20Ville/1.jpg
8;Mapsko;Casa Bella;2.5;No;Sector 82, Gurugram;1430;Ready to move in;5700;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/Mapsko%20Casabella/1.jpeg
9;Godrej;Aria;2;No;Sector 79, Gurugram;1331;Ready to move in;8800;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/main/Images/Godrej%20Aria/1.jpg
10;M3M;Crown;NA;No;Dwarka Expressway;NA;Underconstruction;14300;Delhi;Delhi;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/M3M%20Crown/M3M%20Crown.png
11;TATA Housing;La Vida;3;No;Sector 113, Gurugram;1493;Underconstruction;NA;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/TATA%20Housing%20La%20Vida/Tata.png
12;SS Group;The Leaf;2;No;Sector 85, Gurugram;1640;Underconstruction;NA;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/SS%20Group%20The%20Leaf/the%20leaf%202.png
13;SS Group;The Leaf;3;No;Sector 85, Gurugram;2408;Underconstruction;NA;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/SS%20Group%20The%20Leaf/the%20leaf%203.png
14;SS Group;The Leaf;4;No;Sector 85, Gurugram;2812;Underconstruction;NA;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/SS%20Group%20The%20Leaf/the%20leaf%204.png
15;SS Group;The Leaf;4;No;Sector 85, Gurugram;3950;Underconstruction;NA;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/SS%20Group%20The%20Leaf/the%20leaf%205.png
16;SS Group;The Leaf;5;No;Sector 85, Gurugram;4950;Underconstruction;NA;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/SS%20Group%20The%20Leaf/the%20leaf.png
17;Godrej;Icon;2.5;Yes;Sector 88A, Gurugram;1490;Ready to move in;7315;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/Godrej%20Icon/GI%20.png
18;Godrej;Icon;3;No;Sector 88A, Gurugram;1779;Ready to move in;8487;Gurugram;Haryana;https://raw.githubusercontent.com/ashishjain1547/envesttville_data/dev/Images/Godrej%20Icon/gi2.png
